"zscores","ITEM","CONDITION","EXTRACTION","WH_SITE","id"
-0.616160097103594,"1028","filler_bad",NA,NA,6
0.0560145542821447,"8","Extr_whObj","Extr","whObj",6
-1.96050939987507,"1026","filler_bad",NA,NA,6
0.728189205667883,"1008","filler_good",NA,NA,6
-0.616160097103594,"24","Extr_whObj","Extr","whObj",6
-1.96050939987507,"1025","filler_bad",NA,NA,6
0.728189205667883,"19","NoExtr_whObj","NoExtr","whObj",6
0.0560145542821447,"1014","filler_ok",NA,NA,6
0.728189205667883,"1019","filler_ok",NA,NA,6
0.728189205667883,"15","NoExtr_whObj","NoExtr","whObj",6
0.728189205667883,"1024","filler_ok",NA,NA,6
0.728189205667883,"1022","filler_ok",NA,NA,6
0.728189205667883,"1","NoExtr_whSubj","NoExtr","whSubj",6
0.728189205667883,"1003","filler_good",NA,NA,6
-1.96050939987507,"2","Extr_whSubj","Extr","whSubj",6
0.728189205667883,"1009","filler_ok",NA,NA,6
-0.616160097103594,"1011","filler_ok",NA,NA,6
0.728189205667883,"20","Extr_whObj","Extr","whObj",6
0.728189205667883,"1034","filler_bad",NA,NA,6
0.728189205667883,"21","NoExtr_whSubj","NoExtr","whSubj",6
-1.96050939987507,"1032","filler_bad",NA,NA,6
0.728189205667883,"1016","filler_ok",NA,NA,6
0.728189205667883,"16","Extr_whObj","Extr","whObj",6
0.0560145542821447,"1031","filler_bad",NA,NA,6
-0.616160097103594,"12","Extr_whObj","Extr","whObj",6
-0.616160097103594,"1020","filler_ok",NA,NA,6
0.728189205667883,"1015","filler_ok",NA,NA,6
0.0560145542821447,"10","Extr_whSubj","Extr","whSubj",6
0.728189205667883,"1004","filler_good",NA,NA,6
0.728189205667883,"17","NoExtr_whSubj","NoExtr","whSubj",6
-1.28833474848933,"1023","filler_ok",NA,NA,6
0.728189205667883,"1010","filler_ok",NA,NA,6
0.0560145542821447,"4","Extr_whObj","Extr","whObj",6
-1.28833474848933,"1027","filler_bad",NA,NA,6
0.728189205667883,"7","NoExtr_whObj","NoExtr","whObj",6
0.728189205667883,"1012","filler_ok",NA,NA,6
0.728189205667883,"18","Extr_whSubj","Extr","whSubj",6
0.728189205667883,"1006","filler_good",NA,NA,6
0.728189205667883,"1005","filler_good",NA,NA,6
0.728189205667883,"23","NoExtr_whObj","NoExtr","whObj",6
-0.616160097103594,"1017","filler_ok",NA,NA,6
0.728189205667883,"11","NoExtr_whObj","NoExtr","whObj",6
-1.28833474848933,"1018","filler_ok",NA,NA,6
0.728189205667883,"1001","filler_good",NA,NA,6
0.0560145542821447,"14","Extr_whSubj","Extr","whSubj",6
-0.616160097103594,"1029","filler_bad",NA,NA,6
0.728189205667883,"9","NoExtr_whSubj","NoExtr","whSubj",6
-1.96050939987507,"1035","filler_bad",NA,NA,6
0.658850577964446,"1021","filler_ok",NA,NA,1
1.12945813365334,"1012","filler_ok",NA,NA,1
-0.752972089102223,"3","Extr_whObj","Extr","whObj",1
1.12945813365334,"1004","filler_good",NA,NA,1
0.188243022275556,"19","Extr_whObj","Extr","whObj",1
-0.282364533413334,"1013","filler_ok",NA,NA,1
-1.22357964479111,"1032","filler_bad",NA,NA,1
1.12945813365334,"12","NoExtr_whSubj","NoExtr","whSubj",1
-1.69418720048,"1030","filler_bad",NA,NA,1
0.658850577964446,"1006","filler_good",NA,NA,1
-0.752972089102223,"17","Extr_whSubj","Extr","whSubj",1
-1.22357964479111,"1024","filler_ok",NA,NA,1
-0.752972089102223,"20","NoExtr_whSubj","NoExtr","whSubj",1
1.12945813365334,"1002","filler_good",NA,NA,1
0.188243022275556,"13","Extr_whSubj","Extr","whSubj",1
-1.22357964479111,"1016","filler_ok",NA,NA,1
1.12945813365334,"1005","filler_good",NA,NA,1
0.658850577964446,"4","NoExtr_whSubj","NoExtr","whSubj",1
0.188243022275556,"1018","filler_ok",NA,NA,1
1.12945813365334,"14","NoExtr_whObj","NoExtr","whObj",1
-1.69418720048,"1026","filler_bad",NA,NA,1
1.12945813365334,"1007","filler_good",NA,NA,1
0.658850577964446,"24","NoExtr_whSubj","NoExtr","whSubj",1
-1.69418720048,"1027","filler_bad",NA,NA,1
-0.752972089102223,"1031","filler_bad",NA,NA,1
-0.752972089102223,"23","Extr_whObj","Extr","whObj",1
